Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
287,508,"South Goa : Chandor - Legends, Ruins & Rituals",Samattv Origins Private Limited,LOCAL & HERITAGE,Locked,1525,18.00%,Ancient Kadamba Nandi Bull site,15.264000,74.019000
288,506,Goa - Mulgao Folk Village and Coconut-Farming Experience,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,2619,5.00%,"JW6C+29V, Mulgaon, Goa 403503",15.584000,73.943000
289,503,Panjim - Tea Trunk Signature High Tea Experience,MIH THEMATIC TRAILS PRIVATE LIMITED,FOOD & CULINARY,Locked,1101,18.00%,Panaji,15.490900,73.827800
290,502,South Goa - Chandor Heritage Trail,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,1238,5.00%,"Nossa Senhora de Belem Church, Villa Formosa, Chandor, Guirdolim, Goa 403714",15.264000,74.019000
291,501,Monsoon: Old Goa Heritage Walk,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,1143,5.00%,Old Goa,15.502300,73.911700
292,500,Goa : Guardian Spirits of Goa – Film Screening,MIH THEMATIC TRAILS PRIVATE LIMITED,MUSEUM & AMUSEMENT PARK,Locked,508,18.00%,Candolim,15.516400,73.762500
293,499,North Goa : BLUE LINE,PRIVE TOURISM PRIVATE LIMITED,LOCAL & HERITAGE,Locked,570,5.00%,North Goa,15.600000,73.850000
294,496,North Goa - AC Coach Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,499,5.00%,Calangute / Baga / Candolim / Sinquerim / Arpora,15.543900,73.755300
295,477,Goa : Amzonite Yacht (15 Pax),Yatch Life Goa,SAILING & YACHT,Locked,2000,18.00%,Mandovi Backwaters,15.510000,73.850000
296,467,North Goa : Trek to Sada waterfall,Travel Right Goa,ADVENTURE & OUTDOOR,Locked,1199,18.00%,"Sada, Karnataka 416512",15.409000,74.000000
297,464,Goa : Backwater Cruising (10 Pax),Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,7500,18.00%,Mandovi Backwaters,15.510000,73.850000
298,463,North Goa : Reis Magos Tour with Food,Samattv Origins Private Limited,LOCAL & HERITAGE,Locked,1186,18.00%,Reis Magos,15.502000,73.806000
299,462,North Goa : Reis Magos Tour without Food,Samattv Origins Private Limited,LOCAL & HERITAGE,Locked,847,18.00%,Reis Magos,15.502000,73.806000
300,461,Panjim - Fontainhas and Beyond,Samattv Origins Private Limited,LOCAL & HERITAGE,Live,857,5.00%,"FRXH+V7W, Opp. Municipal Garden, Altinho, Panaji, Goa 403001",15.493000,73.833000
301,458,Old Goa - Saga of Saints Spices and Sovereigns,Samattv Origins Private Limited,LOCAL & HERITAGE,Live,763,18.00%,"Gandhi Cir, Old Goa, Goa 403402",15.502300,73.911700
302,454,South Goa - Netravali Jeep Safari,GFDC,NATURE & WILDLIFE,Live,400,5.00%,"36MJ+FR7, Unnamed Road, Neturlim, Netravli, Goa 403704",15.180000,74.168000
303,452,Goa: RA11 Float Experience,Yatch Life Goa,SAILING & YACHT,Locked,3814,18.00%,Mandovi Backwaters,15.510000,73.850000
304,451,North Goa - Full-day Sightseeing Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,625,5.00%,"Calangute, Candolim, Baga, Arpora, Nagoa, and Sinquerim.",15.543900,73.755300
305,450,South Goa - Full-day Sightseeing Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,875,5.00%,"Calangute, Candolim, Baga, Arpora, Nagoa, and Sinquerim.",15.543900,73.755300
306,449,North Goa - Historical Fort Visits with Kerim Beach Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,1375,5.00%,"PM6R+VQ5, Querim, Goa 403524",15.700300,73.700800
307,448,Goa - Full-day Extreme North Goa Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,875,5.00%,"Calangute, Candolim, Baga, Arpora, Nagoa, and Sinquerim.",15.543900,73.755300
308,447,Goa - Full-day Extreme South Goa Tour,Fernandes Holiday Makers,LOCAL & HERITAGE,Live,1375,5.00%,"Calangute, Candolim, Baga, Arpora, Nagoa, and Sinquerim.",15.543900,73.755300
309,445,South Goa - Dudhsagar Waterfall and Bondla Zoo Tour,Fernandes Holiday Makers,ADVENTURE & OUTDOOR,Locked,1375,5.00%,South Goa,15.200000,74.000000
310,443,North Goa - Combo 90 Minute Cruise And Kayaking,Konkan Explorers Private Limited,WATER ACTIVITIES,Locked,2381,5.00%,Mandovi River,15.500000,73.820000
311,442,North Goa : Mandovi Cruise and Kayaking Trails (2.5 hours),Konkan Explorers Private Limited,WATER ACTIVITIES,Locked,,5.00%,Mandovi River,15.500000,73.820000
312,441,North Goa - 60 Minutes Cruise Experience,Konkan Explorers Private Limited,WATER ACTIVITIES,Live,8095,5.00%,"Captains Club, near Maharudra Maruti Mandir, Ribandar, Goa 403006",15.493000,73.886000
313,440,North Goa : Mandovi Boat Cruise Trails (Sundowner),Konkan Explorers Private Limited,WATER ACTIVITIES,Live,9524,5.00%,"Captains Club, near Maharudra Maruti Mandir, Ribandar, Goa 403006",15.493000,73.886000
314,439,North Goa : Best of Chorao and Divar Island,CYCLING ZENS INDIA PRIVATE LIMITED,ADVENTURE & OUTDOOR,Locked,3800,18.00%,Chorao & Divar Island,15.537000,73.878000
315,434,Sanquelim - Goa AquaWorld Water Park Full Day Trip,GOA AQUAWORLD LLP,MUSEUM & AMUSEMENT PARK,Live,614,18.00%,"Goa Aquaworld LLP,Pitre Estate, Mapusa Belgavi Road, Karapur, Vithallapur, Tisk, Sanquelim - 403505, Goa",15.564000,74.007000
316,429,Flyboarding Goa,Go Dive,ADVENTURE & OUTDOOR,Locked,2500,18.00%,"Agarvada, Siolim",15.630000,73.750000
317,427,South Goa - Jeep Safari and Trek to Mainapi Waterfall with Naturalist,Tanshikar Spice Farm,Monsoon Specials,Live,1857,5.00%,"near Smriti Yoga, Netravli, Goa 403704",15.180000,74.168000
318,426,South Goa - Jeep Safari and Trek to the Smaller Savri Waterfall,Tanshikar Spice Farm,Monsoon Specials,Live,1571,5.00%,"near Smriti Yoga, Netravli, Goa 403705",15.180000,74.168000
319,425,Goa : Pub-hopping goes Local,The Local Beat,FOOD & CULINARY,Locked,2712,18.00%,"Cansaulim Beach Rd, Cansaulim, Goa, India",15.327000,73.906000
320,424,Goa : Caju Crush,The Local Beat,FOOD & CULINARY,Locked,2542,18.00%,Bicholim Goa,15.593000,73.945000
321,423,Goa : Nhoi Dip & Dine by the Riverside,The Local Beat,NATURE & WILDLIFE,Locked,2458,18.00%,"Valpoi, Goa",15.533000,74.023000
322,422,South Goa : Mudanca - A Change of Pace Kinda Picnic,The Local Beat,ADVENTURE & OUTDOOR,Locked,2458,18.00%,"Palolem, Canacona, Goa 403702, India?",15.009000,74.130600
323,421,South Goa - Saxti-chi Pasoi,The Local Beat,LOCAL & HERITAGE,Locked,1695,18.00%,Rachol,15.297000,74.050000
324,419,South Goa : Forest Bathing & Wild Dining,The Local Beat,NATURE & WILDLIFE,Locked,2966,18.00%,"Canacona, Goa, India",15.009000,74.130600
325,418,South Goa - Tanshikar Spice Farm with Lunch,Tanshikar Spice Farm,NATURE & WILDLIFE,Live,850,5.00%,"near Smriti Yoga, Netravli, Goa 403706",15.180000,74.168000
326,417,Goa - Farm 33 Resort And Water Park,Farm Thirty Three,MUSEUM & AMUSEMENT PARK,Live,800,18.00%,"Siddheshwar temple, Madhlawada, Sal, Bicholim, Goa 403503",15.593000,73.945000
