Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
395,280,South Goa : Mobor Beach - Windsurfing,PRINCE OF SAL,WATER ACTIVITIES,Locked,5500,18.00%,Mobor,15.173000,73.946000
396,279,South Goa : Wakeboarding for Learners,PRINCE OF SAL,WATER ACTIVITIES,Locked,3500,18.00%,Mobor,15.173000,73.946000
397,275,South Goa : Mobor - Waterskiing in Goa,PRINCE OF SAL,WATER ACTIVITIES,Locked,2500,18.00%,Mobor,15.173000,73.946000
398,274,South Goa - Mobor Beach - Winch Boat Parasailing,PRINCE OF SAL,WATER ACTIVITIES,Locked,1560,18.00%,Mobor,15.173000,73.946000
399,273,South Goa - Mobor Beach - Parasiling,PRINCE OF SAL,WATER ACTIVITIES,Locked,1440,18.00%,Mobor,15.173000,73.946000
400,272,South Goa - Mobor Beach - Ringo Ride,PRINCE OF SAL,WATER ACTIVITIES,Locked,840,18.00%,Mobor,15.173000,73.946000
401,271,South Goa - Mobor Beach - Banana Boat Ride,PRINCE OF SAL,WATER ACTIVITIES,Locked,600,18.00%,Mobor,15.173000,73.946000
402,270,South Goa - Mobor Beach - Jet Ski,PRINCE OF SAL,WATER ACTIVITIES,Locked,600,18.00%,Mobor,15.173000,73.946000
403,269,South Goa : Mobor Beach - Jet Ski Mountain Ride,PRINCE OF SAL,WATER ACTIVITIES,Locked,1500,18.00%,Mobor,15.173000,73.946000
404,257,South Goa - Waterfall Trek with Horse Riding Experience,TREK ME GOA,Monsoon Specials,Live,1000,18.00%,Tilamol,15.180000,74.090000
405,256,Goa - The Great South Goa Trek And Tour,TREK ME GOA,Monsoon Specials,Live,1000,18.00%,Cuncolim bus stop,15.175000,73.996000
406,255,South Goa - Hidden Moon Beach Trek,TREK ME GOA,Monsoon Specials,Live,1333,18.00%,Hp petrol pump cancona,15.010000,74.050000
407,251,South Goa - Menezes Braganca House,Menezes Braganca House,MUSEUM & AMUSEMENT PARK,Live,450,18.00%,"Guddi - Chandor Rd, Culsabhatt, Chandor, Kavorin, Goa 403714",15.264000,74.019000
408,250,Goa - Bungee Jumping at Mayem Lake,JUMPIN ADVENTURE SPORTS INDIA PRIVATE LIMITED,Monsoon Specials,Live,3810,18.00%,"Mayem, GTDC, Survey No, 166 & 166/1, Dicholi, Goa 403504",15.593000,73.945000
409,241,Weekend Surf Lessons For Kids,Octopus Surf School,WATER ACTIVITIES,Locked,15000,18.00%,Morjim,15.629500,73.735800
410,240,Surf experience with 3-Day Intensive Package,Octopus Surf School,WATER ACTIVITIES,Locked,3600,18.00%,Morjim,15.629500,73.735800
411,223,North Goa - Wilderness Hike,Adventure Breaks,ADVENTURE & OUTDOOR,Locked,801,18.00%,Porvorim,15.538000,73.829000
412,222,Moonlight Jungle Walk,Adventure Breaks,NATURE & WILDLIFE,Locked,1580,18.00%,North Goa,15.600000,73.850000
413,221,Goa : Wetlands Trail,Adventure Breaks,ADVENTURE & OUTDOOR,Locked,1090,18.00%,North Goa,15.600000,73.850000
414,215,South Goa - Ocean Hike to Waterfall Beach,Adventure Breaks,NATURE & WILDLIFE,Live,1521,18.00%,Loliem,14.980000,74.057000
415,211,South Goa - Ocean Hike to Eagles Cliff,Adventure Breaks,ADVENTURE & OUTDOOR,Locked,1034,18.00%,Loliem,14.980000,74.057000
416,209,North Goa: Assagao-Chapora River-side Cycling Tour,CYCLING ZENS INDIA PRIVATE LIMITED,ADVENTURE & OUTDOOR,Locked,2119,18.00%,Assagao - Chapora,15.603000,73.735000
417,206,North Goa : Bird Sanctuary Mangrove Kayaking,CYCLING ZENS INDIA PRIVATE LIMITED,WATER ACTIVITIES,Locked,,,Pomburpa,15.563000,73.850000
418,203,South Goa - Ocean Trek to Cabo De Rama,Adventure Breaks,Monsoon Specials,Live,1699,18.00%,Cancona,15.009000,74.130600
419,201,Old Goa : Custom Island Hop,CYCLING ZENS INDIA PRIVATE LIMITED,ADVENTURE & OUTDOOR,Locked,2900,18.00%,Panjim,15.490900,73.827800
420,200,North Goa - Porvorim - Salvador do Mundo Riverside Cycling Tour,CYCLING ZENS INDIA PRIVATE LIMITED,ADVENTURE & OUTDOOR,Live,1600,18.00%,"Church :, Saviour of the World :, Salvador du Mundu, Goa 403101",15.548000,73.853000
421,199,Panjim - E-bike Tour of Chorao Island,CYCLING ZENS INDIA PRIVATE LIMITED,ADVENTURE & OUTDOOR,Live,1800,18.00%,"Ribandar, Goa 403006",15.493000,73.886000
422,195,South Goa - Southern Scramble,Adventure Breaks,NATURE & WILDLIFE,Locked,1570,18.00%,"Swiss family garden restaurant with BAR Maditolap, Canacona, Loliem, Goa 403728",14.980000,74.060000
423,182,South Goa - Ocean Hike to Boulder Bay,Adventure Breaks,Monsoon Specials,Live,1309,18.00%,Loliem,14.980000,74.057000
424,177,Goa - Ocean Hike Crabs Claw Bay,Adventure Breaks,Monsoon Specials,Live,1140,18.00%,"Querim, North Goa",15.600000,73.850000
425,172,South Goa - Ocean Trek Fortaleza Cabo,Adventure Breaks,Monsoon Specials,Live,1309,18.00%,Cabo de Rama Fort,15.097000,73.914000
426,168,Goa - Four Beaches Jungle Hike,Adventure Breaks,Monsoon Specials,Locked,1309,18.00%,"Swiss Family Garden Restaurant with Bar, Maditolap, Canacona, Loliem, Goa 403702",14.980000,74.060000
427,164,South Goa - Ocean Trek Sea Cave,Adventure Breaks,Monsoon Specials,Live,1521,18.00%,Cabo de Rama Fort,15.097000,73.914000
428,161,North Goa : ATV Bike for Jungle Trail - Double Seater,Reem Adventures,ADVENTURE & OUTDOOR,Live,2372,18.00%,"Reem adventures, opp. Goa Bungy, Latambarcem, Dewoolwada, Vadawal, Mapusa, Kasarpal, Goa 403503",15.566000,74.011000
429,160,North Goa : ATV Bike for Jungle Trail - Single Seater,Reem Adventures,ADVENTURE & OUTDOOR,Live,1525,18.00%,"Reem adventures, opp. Goa Bungy, Latambarcem, Dewoolwada, Vadawal, Mapusa, Kasarpal, Goa 403503",15.566000,74.011000
430,158,ATV Bike for Movie Shooting,Reem Adventures,ADVENTURE & OUTDOOR,Locked,15000,18.00%,Bicholim,15.593000,73.945000
431,156,ATV Bike Grand Entry for Wedding Couple,Reem Adventures,ADVENTURE & OUTDOOR,Locked,15000,18.00%,Bicholim,15.593000,73.945000
432,153,North Goa - Kayaking at Siolim,Travel Right Goa,WATER ACTIVITIES,Locked,600,18.00%,Siolim,15.615200,73.767400
433,148,North Goa - Ocean Trek Hippie Trail,Adventure Breaks,Monsoon Specials,Live,1504,18.00%,"Paliem, Canacona",15.009000,74.130600
434,144,Sal Backwaters & Mangrove Magic – A Trip for Couples,Prakash K Alfonso,WATER ACTIVITIES,Locked,2750,5.00%,Nuvem,15.272000,73.980000
435,141,North Goa : The Nemo Sunset Experience,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,4000,18.00%,Mandovi Backwaters,15.510000,73.850000
436,140,North Goa : The Nemo Enchanted Island Adventure,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,12000,18.00%,Mandovi Backwaters,15.510000,73.850000
437,138,The Nemo Sunrise Experience,Nautilus Sailing Ventures LLP,SAILING & YACHT,Locked,3500,18.00%,Mandovi Backwaters,15.510000,73.850000
438,134,Goa - Jungle Chill,Adventure Breaks,Monsoon Specials,Live,1682,18.00%,Darbandora,15.320000,74.110000
439,119,Anjuna - Indoor Climbing Gym,Equilibrium Climbing Station,ADVENTURE & OUTDOOR,Live,508,18.00%,"Padre Agnel Vaddo, Gauvaddi, Anjuna, Calangute - Anjuna Rd, behind Splashdown Water park, Bardez, Anjuna, Goa 403509",15.543900,73.755300
440,118,Latambarcem - Bungee Jumping in Goa,FLYSPORTS PROFESSIONAL INDIA PRIVATE LIMITED,ADVENTURE & OUTDOOR,Live,2542,18.00%,"Vadaval, Latambarcem, Kasarpal, Goa 403504",15.566000,74.011000
441,117,Baga - River Kayaking Adventures,Alvira Gonsalves,Monsoon Specials,Locked,400,18.00%,Baga Beach,15.555440,73.751570
442,116,Sea Kayaking Adventures at Baga Beach,Alvira Gonsalves,WATER ACTIVITIES,Locked,500,18.00%,Baga Beach,15.555440,73.751570
443,115,15+ Minute Private Paragliding Over South Goa,Skywalker Adventures,ADVENTURE & OUTDOOR,Locked,6500,18.00%,Colva,15.278000,73.922000
444,112,Goa - Savoi Plantation Tour,Savoi Plantation,NATURE & WILDLIFE,Live,1500,18.00%,"Savoi, Marcel Ponda Road, Ponda, Goa, 403107",15.543000,73.965000
445,111,Old Goa - Island Safari,Rare Escapes,NATURE & WILDLIFE,Live,2119,18.00%,"GW27+H9R, Old Goa, Goa 403402",15.502300,73.911700
446,110,North Goa - Discovery of Divar Island,Rare Escapes,ADVENTURE & OUTDOOR,Live,2542,18.00%,"Velha Goa, Old Goa, Goa 403110",15.502300,73.911700
447,109,Old Goa - Island Clay Bath,Rare Escapes,ADVENTURE & OUTDOOR,Live,2542,18.00%,"Old Goa, Goa 403402",15.502300,73.911700
448,108,Goa - Island Hopping,Rare Escapes,ADVENTURE & OUTDOOR,Live,3389,18.00%,"Gandhi Cir, Old Goa, Goa 403402",15.502300,73.911700
449,107,Goa - Once Upon A Time In Old Goa,Rare Escapes,ADVENTURE & OUTDOOR,Live,1695,18.00%,"Gandhi Cir, Old Goa, Goa 403402",15.502300,73.911700
450,106,Goa - Panjim Tales & Trails,Rare Escapes,ADVENTURE & OUTDOOR,Live,2542,18.00%,"Dr TB Cunha Rd, Panaji, Goa 403001",15.490900,73.827800
451,105,North Goa : Vibes of Vagator,Rare Escapes,ADVENTURE & OUTDOOR,Locked,3500,18.00%,Vagator,15.597400,73.744900
452,103,Chandor Ebike Tours,Rare Escapes,ADVENTURE & OUTDOOR,Locked,3999,18.00%,Margao,15.283200,73.986200
453,102,South Goa's Hidden Gems: Loutolim E-Bike Exploration,Rare Escapes,ADVENTURE & OUTDOOR,Locked,2500,18.00%,Loutolim,15.306000,73.962000
454,101,South Goa : Countryside Escape to Varca,Rare Escapes,ADVENTURE & OUTDOOR,Locked,2500,18.00%,Fatrade,15.265000,73.938000
455,100,South Goa :Village Vistas of Cansaulim,Rare Escapes,ADVENTURE & OUTDOOR,Locked,2500,18.00%,Cansaulim,15.327000,73.906000
456,98,North Goa - Blue Water Pond,Akash Gajanan Gaonkar,Monsoon Specials,Live,1300,18.00%,"Valpoi Bus stop Massorde, Goa 403506",15.533000,74.023000
457,97,North Goa : Riverside Camping,Akash Gajanan Gaonkar,NATURE & WILDLIFE,Locked,,,Valpoi,15.533000,74.023000
458,95,Basic Paragliding Adventure,HIKE N FLY,ADVENTURE & OUTDOOR,Locked,3000,18.00%,Keri Beach,15.705000,73.699000
459,92,North Goa - Salim Ali Bird Sanctuary Boat Trip,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Locked,2000,18.00%,Chorao Ferry Point,15.528000,73.873000
460,90,North Goa - Socorro Plateau Trail,MIH THEMATIC TRAILS PRIVATE LIMITED,ADVENTURE & OUTDOOR,Locked,1525,18.00%,Porvorim,15.538000,73.829000
461,89,Tambdi Surla Butterfly trail,MIH THEMATIC TRAILS PRIVATE LIMITED,NATURE & WILDLIFE,Locked,1800,18.00%,"Mollem, Goa",15.329000,74.165000
462,88,Bioluminescent Forest Trail,MIH THEMATIC TRAILS PRIVATE LIMITED,NATURE & WILDLIFE,Locked,,,"Mollem, Goa",15.329000,74.165000
463,87,Birdwatching at Netravali WLS,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Locked,3000,18.00%,Netravli,15.180000,74.168000
464,85,Tea Trunk Portuguese High Tea Experience,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,2999,18.00%,Panaji,15.490900,73.827800
465,84,North Goa - Birdwatching at Socorro Plateau,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Live,3000,18.00%,"HR8Q+F6F, Aradi Socorro, Goa 403507",15.550720,73.823200
466,82,Carambolim Wetlands Birdwatching,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Locked,3000,18.00%,Carambolim Lake Migratory Bird Sanctuary,15.480000,73.907000
467,79,Birdwatching at Cotigao WLS,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Locked,3000,18.00%,Cotigao Wildlife Sanctuary,14.979000,74.144000
468,77,North Goa : Olaulim Village Saunter,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,1695,18.00%,Olaulim,15.570000,73.868000
469,76,Panjim - Campal Heritage Walk,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,1143,5.00%,"Dayanand Bandodkar Marg, Panaji, Goa 403001",15.490900,73.827800
470,75,Birdwatching at Bhagwan Mahaveer National Park,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Locked,3000,18.00%,Bhagwan Mahavir Wildlife Sanctuary,15.300000,74.200000
471,73,Panjim - Art Saunter,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,2095,5.00%,Panjim,15.490900,73.827800
472,72,Birdwatching at Curtorim Wetlands,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Locked,3000,18.00%,"Curtorim, Shelvan",15.290000,74.075000
473,71,Goa - Aguada Port and Jail Heritage Walk,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,762,5.00%,Aguada Fort and Aguada Jail,15.492320,73.773710
474,70,Sinquerim : Night Walk at Fort Aguada Port & Jail,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Locked,1000,5.00%,Candolim,15.516400,73.762500
475,69,North Goa - Saligao Village Saunter,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,1238,5.00%,Saligao Church,15.563000,73.783000
476,66,Panjim - Chronicles and Echoes of Divar Island With Lunch,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,2286,5.00%,"Velha Goa, Old Goa, Goa 403110",15.502300,73.911700
477,65,Old Goa - Chronicles And Echoes of Divar Island,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,1714,5.00%,"GW47+P9 Old Goa, Goa",15.502300,73.911700
478,63,Panjim - Latin Quarter Food Trail,MIH THEMATIC TRAILS PRIVATE LIMITED,FOOD & CULINARY,Live,2857,5.00%,"E-212, Rua 31 de Janeiro, Fontainhas (quarter), Altinho, Panaji, Goa 403001",15.493000,73.828000
479,61,Goa - Margao City Food Trail,MIH THEMATIC TRAILS PRIVATE LIMITED,FOOD & CULINARY,Live,2619,5.00%,"Holy Spirit Church, Holy Spirit Rd, Borda, Margao, Goa 403601",15.283200,73.986200
480,60,Panjim - Feni and Tapas Food Trail,MIH THEMATIC TRAILS PRIVATE LIMITED,FOOD & CULINARY,Live,3571,5.00%,"JR2V+HVQ, Moide, Goa 403508",15.570000,73.840000
481,59,South Goa : River Bliss - Zuari Boat Trip,AVOCET AND PEREGRINE,WATER ACTIVITIES,Locked,2000,18.00%,"Zuari River, Ponda",15.430000,73.950000
482,58,Panjim - Fontainhas Heritage Walk,MIH THEMATIC TRAILS PRIVATE LIMITED,LOCAL & HERITAGE,Live,1333,5.00%,"Altinho
Panaji, Goa",15.493000,73.833000
483,57,Goa - Birdwatching at Bondla WLS,AVOCET AND PEREGRINE,NATURE & WILDLIFE,Live,3000,18.00%,"C4R4+2HR, Usgao-Ganjem VP, Goa 403406",15.390000,74.020000
484,56,Baga - Snow Park Goa,JUPITER ENTERPRIZE,MUSEUM & AMUSEMENT PARK,Live,500,18.00%,"Titos Lane, 2, Calangute - Baga Rd, Baga, Goa 403516",15.557000,73.751000
485,55,Loutolim - Big Foot Museum Goa,BIG FOOT GOA,MUSEUM & AMUSEMENT PARK,Live,150,18.00%,"Cross Museum, Main Road, Salcete District, Loutolim, Goa 403718",15.306000,73.962000
486,53,Paramotoring Joyrides,FLYING SAFARI PRIVATE LIMITED,ADVENTURE & OUTDOOR,Locked,3999,18.00%,Paliem,15.678000,73.706000
487,52,Anjuna - Splashdown Waterpark Goa - Fun for Spectators,SPLASHDOWN GOA,MUSEUM & AMUSEMENT PARK,Live,430,18.00%,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509",15.543900,73.755300
488,51,Anjuna - Splashdown Waterpark - Low-key Fun for Senior Citizens,SPLASHDOWN GOA,MUSEUM & AMUSEMENT PARK,Live,590,18.00%,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509",15.543900,73.755300
489,50,Anjuna - Splashdown Waterpark Thrills,SPLASHDOWN GOA,MUSEUM & AMUSEMENT PARK,Live,730,18.00%,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509",15.543900,73.755300
490,48,Anjuna - Splashdown Waterpark Joy for Kids Under 4ft,SPLASHDOWN GOA,MUSEUM & AMUSEMENT PARK,Live,550,18.00%,"Calangute-Anjuna Main Road, Padre Agnel Vaddo, Gauvaddi, Anjuna, Near Double Tree Hilton Hotel, Bardez, Goa 403509",15.543900,73.755300
491,46,North Goa : Sunset Kayaking on Chapora River,Anthony Clement Noronha,WATER ACTIVITIES,Locked,1000,18.00%,Kodxel Nadora on Chapora river,15.640000,73.750000
492,44,Goa : Sunrise Kayaking,Anthony Clement Noronha,WATER ACTIVITIES,Locked,1000,18.00%,Kodxel Nadora on river Chapora,15.603000,73.735000
493,42,Leopard39 Moksh For 15 Pax,Yatch Life Goa,SAILING & YACHT,Locked,45000,18.00%,Mandovi Backwaters,15.510000,73.850000
494,41,North Goa : Sea Heiress Yacht Cruise (8 Pax),Yatch Life Goa,SAILING & YACHT,Locked,6500,18.00%,Panjim,15.490900,73.827800
495
